date,open,high,low,close,adj_close,volume
2002-06-06,63.434799,74.629204,63.434799,74.554604,72.156342,1
2002-06-07,71.643997,73.136597,71.643997,73.136597,70.783951,0
2002-06-10,70.897697,74.629204,70.897697,74.629204,72.228554,3
2002-06-11,74.554604,74.554604,72.390297,73.061996,70.711761,0
2002-06-12,72.017197,72.390297,70.897697,72.390297,70.061661,2
2002-06-13,72.390297,72.390297,70.151497,72.390297,70.061661,0
2002-06-14,72.390297,72.390297,68.061798,70.151497,67.894875,0
2002-06-17,67.166298,70.897697,67.166298,70.897697,68.617073,0
2002-06-18,67.166298,70.897697,67.166298,70.897697,68.617073,1
2002-06-19,67.166298,70.151497,67.166298,70.151497,67.894875,1
2002-06-20,67.240898,67.240898,67.166298,67.166298,65.005707,0
2002-06-21,65.300598,65.300598,61.867599,65.300598,63.200024,0
2002-06-24,65.300598,65.673698,63.434799,64.554298,62.477730,2
2002-06-25,64.554298,66.046898,63.360199,64.927399,62.838829,5
2002-06-26,59.703400,64.181099,59.703400,64.181099,62.116531,0
2002-06-27,64.181099,65.673698,64.181099,65.673698,63.561123,4
2002-06-28,65.673698,70.151497,65.673698,70.151497,67.894875,0
2002-07-01,63.434799,67.166298,63.434799,67.166298,65.005707,0
2002-07-02,63.509399,67.091698,63.509399,67.091698,64.933502,0
2002-07-03,65.599098,67.091698,65.599098,67.091698,64.933502,0
2002-07-04,64.255798,67.091698,64.255798,67.091698,64.933502,0
2002-07-05,64.181099,66.419998,64.181099,64.927399,62.838829,2
2002-07-08,64.927399,66.419998,64.927399,66.419998,64.283409,0
2002-07-09,89.000000,89.000000,89.000000,89.000000,86.137062,0
2002-07-10,66.419998,66.494598,65.673698,66.046898,63.922318,1
2002-07-11,65.972198,69.405197,65.972198,67.240898,65.077904,2
2002-07-12,66.643898,69.330498,66.643898,69.330498,67.100288,0
2002-07-15,67.166298,67.166298,67.091698,67.166298,65.005707,0
2002-07-16,65.001999,65.001999,65.001999,65.001999,62.911026,0
2002-07-17,69.405197,74.629204,67.166298,69.405197,67.172577,2
2002-07-18,68.211098,69.405197,68.211098,69.405197,67.172577,0
2002-07-19,68.658897,68.658897,66.419998,67.166298,65.005707,1
2002-07-22,67.166298,67.166298,65.001999,65.001999,62.911026,0
2002-07-23,63.434799,63.434799,61.942200,63.434799,61.394241,1
2002-07-24,62.688499,64.927399,62.688499,64.927399,62.838829,0
2002-07-25,61.942200,62.688499,60.449699,62.688499,60.671951,0
2002-07-26,61.942200,61.942200,57.464500,61.867599,59.877453,0
2002-07-29,61.494499,61.867599,61.494499,61.792999,59.805256,0
2002-07-30,87.000000,87.000000,79.000000,79.000000,76.458748,0
2002-07-31,59.778000,64.927399,59.778000,64.927399,62.838829,1
2002-08-01,64.927399,64.927399,62.016899,62.016899,60.021950,1
2002-08-02,62.315399,62.315399,62.315399,62.315399,60.310852,1
2002-08-05,59.703400,59.703400,59.703400,59.703400,57.782871,0
2002-08-06,58.957100,62.315399,58.957100,62.315399,60.310852,2
2002-08-07,61.942200,63.434799,60.076500,62.315399,60.310852,0
2002-08-08,64.927399,67.166298,63.434799,64.927399,62.838829,4
2002-08-09,63.434799,63.434799,60.076500,63.434799,61.394241,0
2002-08-12,62.016899,63.434799,61.942200,63.434799,61.394241,0
2002-08-13,64.927399,64.927399,64.106499,64.181099,62.116531,0
2002-08-14,64.181099,64.181099,62.688499,62.688499,60.671951,0
2002-08-15,63.434799,63.434799,63.434799,63.434799,61.394241,1
2002-08-16,64.181099,65.300598,64.181099,65.300598,63.200024,0
2002-08-19,62.688499,64.181099,62.688499,64.106499,62.044334,0
2002-08-20,61.942200,63.434799,61.195900,63.434799,61.394241,1
2002-08-21,63.434799,64.181099,61.569099,64.181099,62.116531,3
2002-08-22,63.434799,64.927399,63.434799,64.927399,62.838829,0
2002-08-23,62.688499,63.360199,59.703400,63.360199,61.322041,1
2002-08-26,63.434799,64.927399,63.434799,64.927399,62.838829,1
2002-08-27,64.927399,70.897697,64.927399,70.897697,68.617073,4
2002-08-28,69.405197,70.897697,68.733498,69.405197,67.172577,1
2002-08-29,68.658897,70.972397,68.658897,70.897697,68.617073,3
2002-08-30,70.897697,70.972397,69.405197,70.897697,68.617073,0
2002-09-02,70.897697,70.897697,70.897697,70.897697,68.617073,0
2002-09-03,70.748497,70.748497,67.240898,69.405197,67.172577,0
2002-09-04,67.315498,69.405197,67.315498,69.405197,67.172577,1
2002-09-05,67.912598,68.658897,67.912598,68.658897,66.450287,0
2002-09-06,67.166298,67.912598,66.793098,67.240898,65.077904,1
2002-09-09,67.166298,70.897697,67.166298,70.897697,68.617073,1
2002-09-10,68.658897,68.658897,68.658897,68.658897,66.450287,0
2002-09-11,68.658897,70.897697,68.658897,70.897697,68.617073,0
2002-09-12,70.151497,70.897697,70.151497,70.151497,67.894875,0
2002-09-13,70.972397,71.643997,70.972397,71.046997,68.761574,0
2002-09-16,70.897697,70.897697,70.897697,70.897697,68.617073,0
2002-09-17,68.658897,69.031998,67.987198,68.808098,66.594696,0
2002-09-18,67.166298,67.166298,67.166298,67.166298,65.005707,0
2002-09-19,67.912598,67.912598,67.166298,67.166298,65.005707,1
2002-09-20,67.166298,69.405197,67.166298,69.405197,67.172577,0
2002-09-23,92.000000,92.000000,86.000000,86.000000,83.233574,0
2002-09-24,65.673698,67.912598,65.673698,67.912598,65.727997,1
2002-09-25,67.240898,70.897697,67.166298,68.061798,65.872398,0
2002-09-26,70.897697,71.643997,70.897697,71.643997,69.339371,0
2002-09-27,71.643997,73.136597,70.897697,72.838097,70.495056,11
2002-09-30,73.136597,73.136597,72.390297,72.390297,70.061661,1
2002-10-01,72.390297,76.494904,72.390297,76.494904,74.034233,7
2002-10-02,83.584702,84.331001,82.092102,82.092102,79.451378,4
2002-10-03,82.838402,84.331001,82.465302,84.331001,81.618263,2
2002-10-04,85.823601,85.823601,82.316002,84.331001,81.618263,1
2002-10-07,113.000000,113.000000,104.500000,104.500000,101.138474,0
2002-10-08,81.271202,81.271202,81.271202,81.271202,78.656891,0
2002-10-09,80.599503,80.599503,79.853203,79.853203,77.284500,1
2002-10-10,80.226402,83.211601,80.226402,82.241402,79.595879,0
2002-10-11,81.345802,81.345802,80.599503,81.345802,78.729080,1
2002-10-14,78.733803,78.733803,78.435303,78.435303,75.912224,0
2002-10-15,77.987503,79.107002,77.689003,79.107002,76.562302,3
2002-10-16,77.987503,77.987503,77.987503,77.987503,75.478821,0
2002-10-17,79.107002,81.047302,79.107002,81.047302,78.440193,0
2002-10-18,82.166702,83.584702,82.166702,82.465302,79.812569,1
2002-10-21,79.853203,83.957901,79.853203,83.957901,81.257164,0
2002-10-22,81.495102,85.077301,81.495102,82.092102,79.451378,0
2002-10-23,84.704102,88.062500,84.704102,88.062500,85.229721,0
2002-10-24,87.316200,91.793900,87.316200,91.793900,88.841087,0
2002-10-25,89.107300,92.316299,89.107300,90.301300,87.396500,1
2002-10-28,120.000000,120.000000,118.599998,118.599998,114.784904,0
2002-10-29,86.943001,87.689301,86.943001,87.689301,84.868530,0
2002-10-30,88.286301,91.271500,88.286301,91.271500,88.335495,1
2002-10-31,91.793900,91.793900,90.674500,90.674500,87.757706,0
2002-11-01,93.286499,93.286499,90.375999,90.525200,87.613205,0
2002-11-04,90.301300,90.301300,86.569901,86.569901,83.785149,1
2002-11-05,86.569901,87.316200,86.569901,87.316200,84.507431,0
2002-11-06,83.808601,86.569901,83.584702,86.569901,83.785149,2
2002-11-07,85.823601,85.823601,85.823601,85.823601,83.062851,0
2002-11-08,84.331001,84.331001,78.360703,80.599503,78.006790,0
2002-11-11,80.599503,82.092102,79.853203,81.345802,78.729080,0
2002-11-12,78.733803,80.226402,78.733803,80.226402,77.645691,0
2002-11-13,109.500000,109.500000,107.000000,107.000000,103.558044,0
2002-11-14,80.226402,80.972702,76.121803,80.226402,77.645691,1
2002-11-15,107.500000,107.500000,107.500000,107.500000,104.041954,0
2002-11-18,79.853203,82.092102,79.853203,82.092102,79.451378,0
2002-11-19,82.092102,82.092102,82.092102,82.092102,79.451378,0
2002-11-20,79.853203,82.092102,79.107002,82.092102,79.451378,1
2002-11-21,82.092102,83.584702,82.092102,83.584702,80.895966,0
2002-11-22,82.092102,83.360802,82.092102,83.360802,80.679268,0
2002-11-25,82.838402,82.838402,82.092102,82.166702,79.523575,0
2002-11-26,82.092102,82.092102,81.345802,81.345802,78.729080,0
2002-11-27,82.465302,82.465302,81.345802,81.345802,78.729080,0
2002-11-28,81.345802,81.345802,80.748802,80.748802,78.151291,0
2002-11-29,80.972702,84.256401,80.972702,84.256401,81.546051,1
2002-12-02,83.957901,87.316200,83.659302,87.316200,84.507431,2
2002-12-03,85.823601,87.390800,85.823601,87.390800,84.579636,1
2002-12-04,85.226501,87.316200,85.151901,85.151901,82.412750,0
2002-12-05,83.211601,83.211601,83.211601,83.211601,80.534866,0
2002-12-06,83.211601,83.211601,82.241402,82.614502,79.956978,3
2002-12-09,79.853203,79.927902,79.853203,79.927902,77.356796,0
2002-12-10,81.495102,81.495102,80.226402,80.226402,77.645691,0
2002-12-11,80.226402,82.838402,80.226402,82.465302,79.812569,10
2002-12-12,83.360802,85.823601,82.092102,82.092102,79.451378,9
2002-12-13,81.719002,81.719002,81.719002,81.719002,79.090279,0
2002-12-16,84.331001,84.331001,83.584702,83.584702,80.895966,0
2002-12-17,84.704102,84.704102,84.704102,84.704102,81.979355,1
2002-12-18,84.331001,84.704102,84.331001,84.704102,81.979355,0
2002-12-19,85.450401,85.823601,85.450401,85.450401,82.701653,5
2002-12-20,86.569901,87.316200,85.823601,86.569901,83.785149,0
2002-12-23,86.719101,86.719101,85.823601,85.823601,83.062851,0
2002-12-24,115.000000,115.000000,115.000000,115.000000,111.300697,0
2002-12-25,115.000000,115.000000,115.000000,115.000000,111.300697,0
2002-12-26,86.569901,86.569901,82.092102,82.092102,79.451378,0
2002-12-27,83.211601,83.211601,83.211601,83.211601,80.534866,0
